layer,shift_text_rotation,shift_img_rotation,text_direction_difference_norm,img_direction_difference_norm,n,rotation_support,magnitude_support,expected_missing_input,notes,paper_table,paper_page,paper_section,value_origin,source_pdf,source_pdf_sha256
8,0.399,0.285,0.893,0.755,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
13,0.435,0.335,0.933,0.818,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
17,0.099,0.085,0.446,0.412,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
22,0.132,0.139,0.514,0.528,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
27,0.169,0.224,0.581,0.669,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
31,0.253,0.310,0.712,0.787,500,paper_only_missing_before_after_artifact,paper_only_missing_before_after_artifact,before_after Faces safe/harmful completion directions for base and fine-tuned models,"img denotes image-present completion-token condition, not isolated image-token activations.",4,8,Appendix D / Section 4.2,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
