layer,exp1_cos_vis_text,exp1_subspace_overlap_top5,exp1_relative_vision_shift,exp1_relative_text_shift,exp3_base_to_ft_rotation,exp3_cos_ft_vision_ft_faces_text,exp1_n,exp3_n,exp1_random_mean,exp1_random_sd,exp3_random_mean,exp3_random_sd,exp1_support,exp3_rotation_support,exp3_cross_dataset_support,exp3_source,exp3_rotation_source_key,exp3_cross_dataset_source_key,paper_table,paper_page,paper_section,value_origin,source_pdf,source_pdf_sha256
8,-0.930,0.379,0.158,0.075,1.209,+0.055,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.8.ft_vs_base_rotation,data.vlguard_results.8.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
13,-0.919,0.383,0.109,0.039,0.356,+0.146,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.13.ft_vs_base_rotation,data.vlguard_results.13.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
17,-0.424,0.353,0.050,0.081,0.782,-0.587,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.17.ft_vs_base_rotation,data.vlguard_results.17.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
22,-0.461,0.324,0.075,0.136,0.727,-0.360,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.22.ft_vs_base_rotation,data.vlguard_results.22.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
27,+0.026,0.322,0.085,0.181,1.001,-0.077,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.27.ft_vs_base_rotation,data.vlguard_results.27.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
31,+0.502,0.305,0.129,0.223,1.358,-0.074,150,500,-0.001,0.019,-0.000,0.020,paper_only_missing_run_artifact,recorded_artifact_matches_printed,recorded_scalar_missing_faces_input,results/summaries/artifacts/Step2__step2_vlguard_vision_N500.json,data.vlguard_results.31.ft_vs_base_rotation,data.vlguard_results.31.cos_vs_faces_text,1,4,4.1 / 4.3,original_submitted_paper,paper/submitted.pdf,7623ff53aa7e69ec36fd8ef1074281f5dd4ff1e27497f32b9364b0bf52ea3a5e
